"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14626","Teste 7: Navegação para links IMDB","","2025-12-01","failed","2025-12-01","","tests.VaadinDatabaseExampleDemoTest","tests.VaadinDatabaseExampleDemoTest","testNavigateToImdb"
"Testa se os diretores estão corretamente listados","8408","TC003: Verificar informações dos diretores","","2025-12-01","passed","2025-12-01","","Testes de Aceitação - Banco de Dados de Filmes Vaadin","tests.VaadinDatabaseExampleDemoTest","testDirectorsInformation"
"Testa se os anos de lançamento estão corretos","9025","TC004: Verificar anos de lançamento","","2025-12-01","passed","2025-12-01","","Testes de Aceitação - Banco de Dados de Filmes Vaadin","tests.VaadinDatabaseExampleDemoTest","testReleaseYears"
"","12617","Teste 4: Verificar diretores","","2025-12-01","failed","2025-12-01","","tests.VaadinDatabaseExampleDemoTest","tests.VaadinDatabaseExampleDemoTest","testDirectors"
"Testa se a página carrega corretamente","8514","TC001: Verificar carregamento da página","","2025-12-01","passed","2025-12-01","","Testes de Aceitação - Banco de Dados de Filmes Vaadin","tests.VaadinDatabaseExampleDemoTest","testPageLoads"
"Testa se os filmes do exemplo estão presentes","9136","TC002: Verificar presença dos filmes específicos","","2025-12-01","passed","2025-12-01","","Testes de Aceitação - Banco de Dados de Filmes Vaadin","tests.VaadinDatabaseExampleDemoTest","testSpecificMoviesPresent"
"","7647","Teste para adicionar múltiplas entradas","","2025-12-01","failed","2025-12-01","","tests.VaadinDatabaseExampleDemoTest","tests.VaadinDatabaseExampleDemoTest","testAddMultipleEntries"
"Testa se a tabela tem dados estruturados","12007","TC006: Verificar estrutura da tabela","","2025-12-01","passed","2025-12-01","","Testes de Aceitação - Banco de Dados de Filmes Vaadin","tests.VaadinDatabaseExampleDemoTest","testTableStructure"
"","7391","Teste para adicionar uma nova entrada","","2025-12-01","failed","2025-12-01","","tests.VaadinDatabaseExampleDemoTest","tests.VaadinDatabaseExampleDemoTest","testAddEntry"
"Testa se o título da página é relevante","5859","TC008: Teste de título da página","","2025-12-01","failed","2025-12-01","","Testes de Aceitação - Banco de Dados de Filmes Vaadin","tests.VaadinDatabaseExampleDemoTest","testPageTitle"
"Testa se Rian Johnson aparece mais de uma vez","10675","TC007: Verificar múltiplas ocorrências do mesmo diretor","","2025-12-01","passed","2025-12-01","","Testes de Aceitação - Banco de Dados de Filmes Vaadin","tests.VaadinDatabaseExampleDemoTest","testMultipleDirectorOccurrences"
"","13128","Teste 3: Verificar filmes específicos","","2025-12-01","failed","2025-12-01","","tests.VaadinDatabaseExampleDemoTest","tests.VaadinDatabaseExampleDemoTest","testSpecificMovies"
"","10399","Teste com dados boundary","","2025-12-01","failed","2025-12-01","","tests.VaadinDatabaseExampleDemoTest","tests.VaadinDatabaseExampleDemoTest","testBoundaryData"
"Testa se existem links para o IMDB (ou IMBD com typo)","13396","TC005: Verificar links IMDB/IMBD","","2025-12-01","passed","2025-12-01","","Testes de Aceitação - Banco de Dados de Filmes Vaadin","tests.VaadinDatabaseExampleDemoTest","testImdbLinks"
"","7440","Teste para excluir uma entrada","","2025-12-01","failed","2025-12-01","","tests.VaadinDatabaseExampleDemoTest","tests.VaadinDatabaseExampleDemoTest","testDeleteEntry"
"","12754","Teste 8: Validar dados completos de um filme","","2025-12-01","failed","2025-12-01","","tests.VaadinDatabaseExampleDemoTest","tests.VaadinDatabaseExampleDemoTest","testCompleteMovieData"
